Trials

NORMAL THROW #1
7676 ACCEL: X:-0.20, Y:-0.99, Z:-0.07   GYRO: X:-1.55'/s, Y:-0.72'/s, Z:2.64'/s
7867 ACCEL: X:-0.20, Y:-0.99, Z:-0.07   GYRO: X:-1.65'/s, Y:-0.84'/s, Z:2.41'/s
8064 ACCEL: X:-0.20, Y:-0.99, Z:-0.07   GYRO: X:-1.38'/s, Y:-0.80'/s, Z:2.46'/s
8266 ACCEL: X:-0.21, Y:-0.98, Z:0.00   GYRO: X:-1.60'/s, Y:-0.71'/s, Z:2.70'/s
8460 ACCEL: X:-0.21, Y:-0.98, Z:0.00   GYRO: X:-1.78'/s, Y:-0.85'/s, Z:2.76'/s
8654 ACCEL: X:-0.21, Y:-0.99, Z:-0.06   GYRO: X:-1.54'/s, Y:-0.78'/s, Z:2.55'/s
8860 ACCEL: X:-0.21, Y:-0.99, Z:-0.06   GYRO: X:-1.60'/s, Y:-0.88'/s, Z:2.66'/s
9095 ACCEL: X:-0.20, Y:-0.98, Z:0.00   GYRO: X:-1.71'/s, Y:-0.89'/s, Z:2.59'/s


UNDERROTATE #1
22 ACCEL: X:0.38, Y:-1.07, Z:-0.01   GYRO: X:13.30'/s, Y:-18.88'/s, Z:47.40'/s
209 ACCEL: X:0.33, Y:-1.13, Z:-0.02   GYRO: X:-18.10'/s, Y:5.39'/s, Z:-17.15'/s
405 ACCEL: X:0.17, Y:-1.08, Z:0.03   GYRO: X:22.31'/s, Y:9.52'/s, Z:-11.00'/s
617 ACCEL: X:0.18, Y:-0.91, Z:0.01   GYRO: X:2.03'/s, Y:2.27'/s, Z:18.24'/s
806 ACCEL: X:0.24, Y:-1.09, Z:0.00   GYRO: X:-1.23'/s, Y:4.15'/s, Z:1.80'/s
1008 ACCEL: X:0.24, Y:-1.02, Z:0.01   GYRO: X:-3.54'/s, Y:-3.37'/s, Z:2.07'/s
1202 ACCEL: X:0.95, Y:-1.29, Z:-0.07   GYRO: X:-9.88'/s, Y:6.22'/s, Z:-6.92'/s
1438 ACCEL: X:0.67, Y:-0.98, Z:-0.01   GYRO: X:-18.65'/s, Y:-15.31'/s, Z:-256.00'/s
1629 ACCEL: X:-0.26, Y:0.81, Z:0.05   GYRO: X:-16.91'/s, Y:-10.78'/s, Z:-256.00'/s
1823 ACCEL: X:-0.07, Y:1.46, Z:0.05   GYRO: X:-34.01'/s, Y:-42.38'/s, Z:-256.00'/s
2036 ACCEL: X:-0.06, Y:2.13, Z:0.21   GYRO: X:-3.77'/s, Y:-21.64'/s, Z:-35.78'/s
2225 ACCEL: X:0.82, Y:7.94, Z:0.94   GYRO: X:2.95'/s, Y:240.13'/s, Z:253.99'/s
2423 ACCEL: X:-0.27, Y:-0.38, Z:0.08   GYRO: X:165.71'/s, Y:-12.05'/s, Z:253.99'/s
2615 ACCEL: X:-0.22, Y:-0.26, Z:0.15   GYRO: X:-126.79'/s, Y:-57.01'/s, Z:253.99'/s
2796 ACCEL: X:-0.01, Y:-0.31, Z:-0.01   GYRO: X:228.36'/s, Y:87.08'/s, Z:253.99'/s
3011 ACCEL: X:-0.01, Y:-0.05, Z:-0.01   GYRO: X:253.99'/s, Y:87.77'/s, Z:70.16'/s
3198 ACCEL: X:-0.02, Y:-0.06, Z:-0.01   GYRO: X:234.64'/s, Y:171.48'/s, Z:120.55'/s
3446 ACCEL: X:-0.57, Y:-0.13, Z:-1.02   GYRO: X:-256.00'/s, Y:253.99'/s, Z:155.
3636 ACCEL: X:-0.16, Y:-0.62, Z:-0.14   GYRO: X:253.99'/s, Y:253.99'/s, Z:253.99'/s
3844 ACCEL: X:0.01, Y:-0.14, Z:0.56   GYRO: X:-23.77'/s, Y:114.22'/s, Z:234.19'/s
4026 ACCEL: X:0.12, Y:0.01, Z:-0.95   GYRO: X:7.68'/s, Y:-59.65'/s, Z:137.46'/s
4209 ACCEL: X:0.37, Y:0.26, Z:-0.12   GYRO: X:65.38'/s, Y:-33.52'/s, Z:89.15'/s
4401 ACCEL: X:0.04, Y:0.26, Z:-0.93   GYRO: X:-14.91'/s, Y:43.16'/s, Z:18.77'/s
4658 ACCEL: X:0.04, Y:0.27, Z:-0.93   GYRO: X:15.41'/s, Y:-16.73'/s, Z:4.44'/s
4790 ACCEL: X:0.03, Y:0.22, Z:-0.92   GYRO: X:-5.23'/s, Y:6.02'/s, Z:-4.45'/s
4998 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:6.00'/s, Y:-3.30'/s, Z:-0.74'/s
5233 ACCEL: X:0.09, Y:0.22, Z:-0.92   GYRO: X:0.92'/s, Y:0.81'/s, Z:-2.30'/s
5426 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:-2.55'/s, Y:-0.13'/s, Z:-1.07'/s
5635 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:-2.10'/s, Y:-0.49'/s, Z:-2.82'/s
5817 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.23'/s, Y:-0.77'/s, Z:-2.89'/s
6023 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.42'/s, Y:-0.84'/s, Z:-2.63'/s
6208 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.57'/s, Y:-0.57'/s, Z:-2.65'/s
6413 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.51'/s, Y:-0.84'/s, Z:-2.64'/s
6597 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.34'/s, Y:-0.88'/s, Z:-2.70'/s
6807 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.37'/s, Y:-0.80'/s, Z:-2.53'/s
7005 ACCEL: X:0.09, Y:0.22, Z:-0.92   GYRO: X:0.45'/s, Y:-0.70'/s, Z:-2.73'/s
7228 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.40'/s, Y:-0.77'/s, Z:-3.00'/s
7434 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.25'/s, Y:-0.77'/s, Z:-2.55'/s
7633 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.36'/s, Y:-0.92'/s, Z:-2.65'/s
7827 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.44'/s, Y:-0.79'/s, Z:-2.34'/s
8019 ACCEL: X:0.09, Y:0.22, Z:-0.92   GYRO: X:0.31'/s, Y:-0.99'/s, Z:-2.63'/s
8231 ACCEL: X:0.09, Y:0.23, Z:-0.92   GYRO: X:0.05'/s, Y:0.91'/s, Z:-2.40'/s
